ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,17,1,0,b,1,0,1,aud,B,63,1,1B,0B,1,0,b,1.56869869999991,1,0,1,1,1B,0B,B10,2.77258872223978,0.522082067140928,0.5,0.5,0.5,0.5,0.549609027151651,0.5,0.5,0.5,0.473902577281967,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.501362150945047,0.523632145812559,0.476367854187441,0.549609027151651,0.5,0.598397336432266,0.857594079106649,0.450390972848349,0.0235080872136189,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,18,3,2,z,0,1,2,aud,C,63,0,3C,2C,1,0,z,3.12383599999976,0,1,1,0,2C,3C,C32,3.49650756146648,0.522082067140928,0.5,0.5,0.5,0.5,0.57311711436527,0.5,0.5,0.5,0.473902577281967,0.550832694491018,0.473902577281967,0.5,0.5,0.473902577281967,0.501362150945047,0.537536581070323,0.462463418929678,0.550832694491018,0.473902577281967,0.0985503568710026,0.945718620125742,-0.550832694491018,-0.0287506273500903,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,19,0,2,b,1,0,0,aud,A,27,1,0A,2A,1,0,b,1.14921000000004,1,0,1,1,0A,2A,A02,3.52636052461616,0.522082067140928,0.5,0.5,0.5,0.5,0.57311711436527,0.5,0.5,0.5,0.473902577281967,0.522082067140928,0.473902577281967,0.5,0.5,0.473902577281967,0.501362150945047,0.510802492212146,0.489197507787854,0.522082067140928,0.5,0.129330566018633,0.694940556635683,0.477917932859072,0.0249448526367033,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,20,2,3,z,0,1,3,aud,D,63,1,2D,3D,0,1,z,2.32911330000024,0,1,1,1,3D,2D,D23,2.4567357728213,0.547026919777631,0.5,0.5,0.5,0.5,0.57311711436527,0.5,0.5,0.5,0.473902577281967,0.522082067140928,0.473902577281967,0.5,0.5,0.473902577281967,0.501362150945047,0.514078010240871,0.485921989759129,0.501362150945047,0.473902577281967,0.258235335114717,0.744535050923732,0.498637849054953,0.0260263254599956,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,21,1,3,b,1,0,1,aud,B,27,1,1B,3B,1,0,b,2.61349879999989,1,0,1,1,1B,3B,B13,3.58351893845611,0.547026919777631,0.5,0.5,0.5,0.5,0.57311711436527,0.5,0.5,0.5,0.473902577281967,0.522082067140928,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.534067630357623,0.465932369642377,0.57311711436527,0.5,0.212176981966778,0.930405297030184,0.42688288563473,0.0222810862350065,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,22,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,b,2.32661290000033,1,0,1,1,2C,3C,C23,2.51230562397611,0.547026919777631,0.5,0.5,0.5,0.5,0.595398200600277,0.5,0.5,0.5,0.473902577281967,0.522082067140928,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.524186863787884,0.475813136212116,0.522082067140928,0.473902577281967,0.299999700391094,0.863185779645548,0.477917932859072,0.0249448526367033,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,23,1,0,z,0,1,0,aud,A,63,0,1A,0A,1,0,z,1.51755240000011,0,1,1,0,0A,1A,A10,2.53897387105828,0.547026919777631,0.5,0.5,0.5,0.5,0.595398200600277,0.5,0.5,0.5,0.473902577281967,0.547026919777631,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.522457359447653,0.477542640552347,0.547026919777631,0.5,0.594336785568796,0.846819991902406,-0.547026919777631,-0.0285519855271606,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,24,1,2,b,1,0,1,aud,B,9,1,1B,2B,1,0,b,1.58183529999997,1,0,1,1,1B,2B,B12,3.66356164612965,0.518474934250471,0.5,0.5,0.5,0.5,0.595398200600277,0.5,0.5,0.5,0.473902577281967,0.547026919777631,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.543544986904305,0.456455013095695,0.595398200600277,0.5,0.873063810096262,0.964892865771372,0.404601799399723,0.0211181283828226,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,25,3,2,z,0,1,2,aud,C,63,1,3C,2C,0,1,z,1.88420610000003,0,1,1,1,2C,3C,C32,2.99573227355399,0.518474934250471,0.5,0.5,0.5,0.5,0.616516328983099,0.5,0.5,0.5,0.473902577281967,0.547026919777631,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.535812630894822,0.464187369105178,0.547026919777631,0.473902577281967,0.545771517781278,0.938749436593899,0.452973080222369,0.0236428599089052,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,26,3,2,b,1,0,3,aud,D,63,0,3D,2D,0,1,b,2.44767640000009,1,0,1,0,3D,2D,D32,3.71357206670431,0.518474934250471,0.5,0.5,0.5,0.5,0.616516328983099,0.5,0.5,0.5,0.473902577281967,0.570669779686536,0.473902577281967,0.5,0.5,0.473902577281967,0.527388476405043,0.526708467496103,0.473291532503897,0.527388476405043,0.473902577281967,0.267620822419404,0.883961655921774,-0.527388476405043,-0.0275269600107234,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,27,1,0,b,1,0,1,aud,B,63,1,1B,0B,1,0,b,1.74692489999961,1,0,1,1,1B,0B,B10,2.63905732961526,0.518474934250471,0.5,0.5,0.5,0.5,0.616516328983099,0.5,0.5,0.5,0.473902577281967,0.570669779686536,0.473902577281967,0.5,0.5,0.473902577281967,0.499861516394319,0.552178515422708,0.447821484577292,0.616516328983099,0.5,0.724739557261369,0.981548268969409,0.383483671016901,0.0200158709359822,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,28,2,0,z,0,1,0,aud,A,27,1,2A,0A,0,1,z,1.51640159999988,0,1,1,1,0A,2A,A20,3.76120011569356,0.518474934250471,0.5,0.5,0.5,0.5,0.636532199919082,0.5,0.5,0.5,0.473902577281967,0.570669779686536,0.473902577281967,0.5,0.5,0.473902577281967,0.499861516394319,0.509069901295149,0.490930098704851,0.518474934250471,0.5,0.39708045789498,0.666309658269647,0.481525065749529,0.0251331263803881,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,29,3,1,b,1,0,3,aud,D,27,1,3D,1D,1,0,z,2.33447410000008,0,1,0,0,1D,3D,D31,3.09104245335832,0.543608060630859,0.5,0.5,0.5,0.5,0.636532199919082,0.5,0.5,0.5,0.473902577281967,0.570669779686536,0.473902577281967,0.5,0.5,0.473902577281967,0.499861516394319,0.500069251393023,0.499930748606977,0.5,0.499861516394319,0.170377381287306,0.50077654206294,-0.5,-0.0260974227180329,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,30,0,1,b,1,0,0,aud,A,63,1,0A,1A,1,0,b,1.47099959999969,1,0,1,1,0A,1A,A01,3.11351530921037,0.543608060630859,0.5,0.5,0.5,0.5,0.636532199919082,0.5,0.5,0.5,0.473902577281967,0.570669779686536,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.499861516394319,0.520892930150663,0.479107069849337,0.543608060630859,0.5,0.573409353484067,0.830159714728199,0.456391939369141,0.0238213067336386,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,31,0,2,z,0,1,2,aud,C,27,1,0C,2C,0,1,z,2.05611799999997,0,1,1,1,2C,0C,C02,3.8286413964891,0.567429367364497,0.5,0.5,0.5,0.5,0.636532199919082,0.5,0.5,0.5,0.473902577281967,0.570669779686536,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.499861516394319,0.533002603149604,0.466997396850396,0.570669779686536,0.5,0.431109691988391,0.925150034623407,0.429330220313464,0.0224088244902933,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,32,3,2,b,1,0,3,aud,D,63,1,3D,2D,1,0,b,1.89630200000011,1,0,1,1,3D,2D,D32,3.15700042115011,0.567429367364497,0.5,0.5,0.5,0.5,0.636532199919082,0.5,0.5,0.5,0.473902577281967,0.59307860417683,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.499861516394319,0.513329172476646,0.486670827523354,0.499861516394319,0.473902577281967,0.363223011438098,0.73366049209604,0.500138483605681,0.0261046508484268,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,33,0,1,z,0,1,1,aud,B,63,1,0B,1B,0,1,z,1.24876840000024,0,1,1,1,1B,0B,B01,2.77258872223978,0.567429367364497,0.5,0.5,0.5,0.5,0.636532199919082,0.5,0.5,0.5,0.473902577281967,0.59307860417683,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.525966167242746,0.560065258128543,0.439934741871457,0.636532199919082,0.5,1.23418787825363,0.989795929799311,0.363467800080918,0.0189711456462104,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,34,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,z,1.3421986000003,0,1,1,1,0A,1A,A10,2.50552593699074,0.567429367364497,0.5,0.5,0.5,0.5,0.655503345565292,0.5,0.5,0.5,0.473902577281967,0.59307860417683,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.525966167242746,0.531584931718237,0.468415068281763,0.567429367364497,0.5,0.730370191374667,0.917344513096246,0.432570632635503,0.0225779573105913,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,35,3,2,b,1,0,3,aud,D,63,0,3D,2D,0,1,b,2.72871000000032,1,0,1,0,3D,2D,D32,2.81341071676004,0.590007324675089,0.5,0.5,0.5,0.5,0.655503345565292,0.5,0.5,0.5,0.473902577281967,0.59307860417683,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.525966167242746,0.526035212244547,0.473964787755453,0.525966167242746,0.473902577281967,0.197779836316276,0.878917767211969,-0.525966167242746,-0.0274527228038351,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,36,0,2,z,0,1,2,aud,C,27,1,0C,2C,0,1,z,1.89188760000025,0,1,1,1,2C,0C,C02,3.23867845216438,0.590007324675089,0.5,0.5,0.5,0.5,0.655503345565292,0.5,0.5,0.5,0.473902577281967,0.59307860417683,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.498513444438911,0.542576354445674,0.457423645554326,0.59307860417683,0.5,0.559726965267066,0.962416002016319,0.40692139582317,0.0212391993596185,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,37,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,z,1.17191539999976,0,1,1,1,0A,1A,A10,2.34180580614733,0.590007324675089,0.5,0.5,0.5,0.5,0.655503345565292,0.5,0.5,0.5,0.473902577281967,0.614317803536448,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.498513444438911,0.54128748616525,0.45871251383475,0.590007324675089,0.5,0.471837479467461,0.958500615980781,0.409992675324911,0.0213995043185029,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,38,3,1,z,0,1,1,aud,B,27,1,3B,1B,0,1,z,1.44698119999975,0,1,1,1,1B,3B,B31,3.27714473299218,0.611406828993591,0.5,0.5,0.5,0.5,0.655503345565292,0.5,0.5,0.5,0.473902577281967,0.614317803536448,0.473902577281967,0.5,0.473902577281967,0.473902577281967,0.498513444438911,0.567288141640653,0.432711858359347,0.655503345565292,0.5,1.37064001745777,0.994073892747298,0.344496654434708,0.0179809496314613,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0521948454360658,0.960473159739596,14.9899847801508,2.53845651223406,0.5,55.4867113562433
